time,gFx,gFy,gFz,0
18:23:49:514,0.8771,0.1744,-0.1463,0.912
18:23:49:514,0.9154,0.1551,-0.1460,0.945
18:23:49:519,0.9474,0.1353,-0.1426,0.971
18:23:49:520,0.9667,0.1222,-0.1434,0.988
18:23:49:521,0.9716,0.1170,-0.1468,0.992
18:23:49:522,0.9743,0.1121,-0.1551,0.995
18:23:49:524,0.9838,0.1021,-0.1673,1.005
18:23:49:529,1.0117,0.0806,-0.1732,1.030
18:23:49:531,1.0456,0.0530,-0.1700,1.060
18:23:49:531,1.0669,0.0291,-0.1629,1.078
18:23:49:532,1.0723,0.0137,-0.1590,1.082
18:23:49:534,1.0703,0.0039,-0.1568,1.079
18:23:49:535,1.0676,-0.0051,-0.1478,1.075
18:23:49:537,1.0664,-0.0134,-0.1285,1.071
18:23:49:539,1.0662,-0.0205,-0.0999,1.068
18:23:49:543,1.0664,-0.0247,-0.0654,1.066
18:23:49:545,1.0662,-0.0254,-0.0295,1.065
18:23:49:546,1.0649,-0.0235,0.0025,1.064
18:23:49:548,1.0613,-0.0181,0.0269,1.061
18:23:49:550,1.0554,-0.0071,0.0406,1.056
18:23:49:552,1.0652,-0.0076,0.0670,1.068
18:23:49:554,1.1177,-0.0545,0.1957,1.136
18:23:49:556,1.1387,-0.0941,0.2839,1.177
18:23:49:558,1.0642,-0.0178,0.0985,1.069
18:23:49:561,0.9948,0.0704,-0.0906,1.003
18:23:49:562,0.9665,0.1187,-0.1563,0.989
18:23:49:564,0.9616,0.1451,-0.1678,0.991
