time,gFx,gFy,gFz,0
22:25:05:171,0.8934,-0.0125,0.7684,1.190
22:25:05:173,0.8895,-0.0107,0.7855,1.198
22:25:05:175,0.8888,-0.0066,0.7987,1.207
22:25:05:177,0.8895,0.0010,0.8112,1.216
22:25:05:179,0.8925,0.0107,0.8280,1.230
22:25:05:182,0.8961,0.0217,0.8490,1.248
22:25:05:183,0.9008,0.0347,0.8710,1.267
22:25:05:185,0.9088,0.0469,0.8910,1.288
22:25:05:187,0.9186,0.0577,0.9079,1.308
22:25:05:189,0.9284,0.0647,0.9157,1.321
22:25:05:192,0.9313,0.0682,0.9118,1.320
22:25:05:194,0.9428,0.0662,0.9072,1.325
22:25:05:195,0.9662,0.0611,0.9062,1.341
22:25:05:197,0.9872,0.0552,0.9094,1.357
22:25:05:199,0.9995,0.0506,0.9125,1.368
22:25:05:202,0.9977,0.0484,0.9123,1.367
22:25:05:203,0.9819,0.0496,0.9091,1.353
22:25:05:205,0.9604,0.0537,0.9077,1.337
22:25:05:207,0.9372,0.0579,0.9079,1.321
22:25:05:210,0.9071,0.0616,0.9138,1.304
22:25:05:211,0.9034,0.0672,0.9355,1.318
22:25:05:214,0.9166,0.0752,0.9448,1.334
22:25:05:216,0.9284,0.0794,0.9340,1.335
22:25:05:217,0.9381,0.0779,0.9150,1.328
22:25:05:219,0.9455,0.0728,0.8815,1.310
22:25:05:221,0.9386,0.0606,0.7940,1.245
22:25:05:225,0.9296,0.0513,0.6988,1.177
22:25:05:227,0.9328,0.0552,0.6167,1.132
22:25:05:228,0.9372,0.0733,0.5243,1.088
22:25:05:229,0.9369,0.0965,0.4444,1.053
22:25:05:231,0.9396,0.1180,0.3663,1.027
22:25:05:233,0.9435,0.1373,0.2966,1.010
22:25:05:235,0.9533,0.1561,0.2463,1.009
22:25:05:237,0.9565,0.1727,0.2192,1.008
22:25:05:239,0.9408,0.1862,0.2153,0.996
22:25:05:242,0.9191,0.2023,0.2336,0.984
22:25:05:244,0.8915,0.2279,0.2668,0.974
22:25:05:245,0.8482,0.2573,0.3047,0.956
22:25:05:247,0.7925,0.2807,0.3435,0.930
22:25:05:249,0.7376,0.2951,0.3775,0.904
22:25:05:251,0.6914,0.2998,0.4041,0.881
22:25:05:254,0.6560,0.2954,0.4222,0.861
22:25:05:255,0.6381,0.2832,0.4322,0.847
22:25:05:257,0.6386,0.2675,0.4352,0.843
22:25:05:261,0.6501,0.2502,0.4337,0.845
22:25:05:262,0.6606,0.2336,0.4322,0.847
22:25:05:264,0.6635,0.2184,0.4325,0.844
22:25:05:265,0.6572,0.2045,0.4352,0.836
22:25:05:267,0.6459,0.1942,0.4405,0.827
22:25:05:269,0.6381,0.1869,0.4488,0.824
22:25:05:271,0.6391,0.1827,0.4574,0.828
22:25:05:278,0.6477,0.1820,0.4637,0.838
22:25:05:280,0.6579,0.1830,0.4664,0.848
22:25:05:281,0.6638,0.1849,0.4684,0.854
22:25:05:283,0.6640,0.1864,0.4721,0.857
22:25:05:284,0.6616,0.1854,0.4791,0.859
22:25:05:285,0.6572,0.1810,0.4882,0.860
22:25:05:286,0.6489,0.1700,0.4965,0.855
22:25:05:287,0.6464,0.1549,0.5045,0.855
22:25:05:289,0.6540,0.1439,0.5089,0.861
22:25:05:296,0.6648,0.1371,0.5070,0.866
22:25:05:298,0.6726,0.1297,0.5065,0.870
22:25:05:299,0.6736,0.1200,0.5111,0.872
22:25:05:300,0.6677,0.1080,0.5197,0.870
22:25:05:300,0.6545,0.0958,0.5290,0.864
22:25:05:301,0.6345,0.0836,0.5392,0.854
22:25:05:302,0.6073,0.0716,0.5488,0.838
22:25:05:305,0.5658,0.0603,0.5554,0.812
22:25:05:307,0.5091,0.0503,0.5549,0.772
22:25:05:310,0.4473,0.0396,0.5461,0.724
22:25:05:311,0.3987,0.0266,0.5331,0.684
22:25:05:313,0.3735,0.0095,0.5229,0.659
22:25:05:315,0.3652,-0.0095,0.5214,0.652
22:25:05:317,0.3638,-0.0310,0.5322,0.659
22:25:05:319,0.3628,-0.0530,0.5524,0.675
22:25:05:321,0.3633,-0.0745,0.5786,0.698
22:25:05:324,0.3679,-0.0953,0.6057,0.725
22:25:05:326,0.3787,-0.1131,0.6294,0.752
22:25:05:326,0.3990,-0.1280,0.6480,0.780
22:25:05:329,0.4290,-0.1400,0.6631,0.809
22:25:05:331,0.4669,-0.1495,0.6763,0.842
22:25:05:334,0.5086,-0.1578,0.6888,0.877
22:25:05:336,0.5497,-0.1644,0.7029,0.913
