time,gFx,gFy,gFz,0
18:11:13:613,1.2298,0.1051,0.1425,1.248
18:11:13:615,1.2474,0.1080,0.0978,1.261
18:11:13:617,1.2599,0.1077,0.0494,1.270
18:11:13:619,1.2711,0.1051,0.0052,1.279
18:11:13:623,1.2829,0.0992,-0.0273,1.290
18:11:13:624,1.2941,0.0916,-0.0432,1.300
18:11:13:626,1.3031,0.0816,-0.0410,1.308
18:11:13:627,1.3085,0.0711,-0.0246,1.312
18:11:13:630,1.3068,0.0625,-0.0004,1.310
18:11:13:631,1.2968,0.0564,0.0260,1.300
18:11:13:633,1.2819,0.0542,0.0523,1.286
18:11:13:635,1.2655,0.0567,0.0804,1.272
18:11:13:639,1.2508,0.0613,0.1112,1.261
18:11:13:641,1.2416,0.0662,0.1476,1.256
18:11:13:643,1.2399,0.0728,0.1918,1.262
18:11:13:644,1.2433,0.0811,0.2409,1.275
18:11:13:645,1.2494,0.0897,0.2908,1.293
18:11:13:647,1.2528,0.0931,0.3155,1.303
18:11:13:649,1.2548,0.0963,0.3626,1.318
18:11:13:651,1.2484,0.0950,0.4080,1.325
18:11:13:653,1.2357,0.0945,0.4523,1.328
18:11:13:656,1.2193,0.1019,0.5045,1.334
18:11:13:659,1.1993,0.1080,0.5546,1.337
18:11:13:660,1.1798,0.1026,0.5805,1.330
18:11:13:662,1.1683,0.0901,0.5830,1.320
18:11:13:663,1.1631,0.0794,0.5766,1.311
18:11:13:666,1.1583,0.0696,0.5793,1.307
18:11:13:667,1.1465,0.0469,0.6472,1.328
18:11:13:670,1.1353,0.0252,0.6758,1.331
18:11:13:671,1.1343,0.0208,0.5998,1.292
18:11:13:674,1.1519,0.0181,0.5114,1.268
18:11:13:676,1.1817,0.0081,0.4454,1.269
18:11:13:677,1.2096,-0.0012,0.3846,1.274
18:11:13:679,1.2254,-0.0071,0.3225,1.271
18:11:13:681,1.2274,-0.0122,0.2685,1.259
18:11:13:683,1.2232,-0.0191,0.2312,1.247
18:11:13:685,1.2184,-0.0279,0.2141,1.239
18:11:13:689,1.2144,-0.0381,0.2141,1.235
18:11:13:691,1.2149,-0.0491,0.2270,1.238
18:11:13:692,1.2220,-0.0572,0.2488,1.249
18:11:13:694,1.2342,-0.0616,0.2725,1.266
18:11:13:696,1.2452,-0.0647,0.2969,1.283
18:11:13:697,1.2574,-0.0672,0.3250,1.302
18:11:13:699,1.2709,-0.0662,0.3531,1.322
18:11:13:701,1.2811,-0.0586,0.3746,1.338
18:11:13:706,1.2860,-0.0464,0.3873,1.347
18:11:13:708,1.2770,-0.0327,0.3895,1.339
18:11:13:709,1.2579,-0.0186,0.3829,1.319
18:11:13:710,1.2413,-0.0024,0.3685,1.299
18:11:13:711,1.2430,0.0269,0.3440,1.295
