time,gFx,gFy,gFz,0
17:18:25:647,-0.3745,0.7180,0.5075,1.003
17:18:25:648,-0.3753,0.7183,0.5063,1.003
17:18:25:650,-0.3750,0.7180,0.5055,1.002
17:18:25:653,-0.3750,0.7187,0.5058,1.003
17:18:25:654,-0.3748,0.7207,0.5055,1.004
17:18:25:656,-0.3750,0.7217,0.5053,1.005
17:18:25:658,-0.3750,0.7212,0.5053,1.004
17:18:25:660,-0.3753,0.7214,0.5045,1.004
17:18:25:662,-0.3753,0.7205,0.5048,1.004
17:18:25:664,-0.3755,0.7200,0.5050,1.004
17:18:25:666,-0.3753,0.7202,0.5050,1.004
17:18:25:669,-0.3748,0.7205,0.5050,1.004
17:18:25:670,-0.3755,0.7202,0.5055,1.004
17:18:25:672,-0.3760,0.7200,0.5065,1.005
17:18:25:674,-0.3765,0.7192,0.5065,1.004
17:18:25:676,-0.3765,0.7185,0.5063,1.003
17:18:25:678,-0.3765,0.7187,0.5060,1.004
17:18:25:680,-0.3760,0.7187,0.5063,1.003
17:18:25:682,-0.3757,0.7185,0.5063,1.003
17:18:25:684,-0.3748,0.7180,0.5065,1.003
17:18:25:689,-0.3740,0.7180,0.5065,1.002
17:18:25:690,-0.3738,0.7178,0.5050,1.001
17:18:25:691,-0.3733,0.7170,0.5043,1.000
17:18:25:693,-0.3731,0.7175,0.5038,1.000
17:18:25:694,-0.3738,0.7175,0.5036,1.000
17:18:25:697,-0.3745,0.7170,0.5043,1.001
17:18:25:698,-0.3755,0.7166,0.5048,1.001
17:18:25:700,-0.3762,0.7173,0.5048,1.002
17:18:25:703,-0.3762,0.7183,0.5048,1.002
17:18:25:704,-0.3777,0.7195,0.5058,1.004
17:18:25:706,-0.3784,0.7195,0.5065,1.005
17:18:25:708,-0.3787,0.7190,0.5077,1.005
17:18:25:710,-0.3787,0.7192,0.5089,1.006
17:18:25:712,-0.3777,0.7202,0.5099,1.007
17:18:25:714,-0.3779,0.7209,0.5107,1.008
17:18:25:716,-0.3779,0.7207,0.5104,1.008
17:18:25:720,-0.3770,0.7205,0.5111,1.008
17:18:25:721,-0.3757,0.7207,0.5121,1.008
17:18:25:722,-0.3748,0.7214,0.5124,1.008
17:18:25:724,-0.3748,0.7222,0.5121,1.009
17:18:25:726,-0.3748,0.7219,0.5136,1.009
17:18:25:728,-0.3750,0.7209,0.5148,1.009
17:18:25:730,-0.3750,0.7212,0.5158,1.010
17:18:25:732,-0.3748,0.7222,0.5170,1.011
17:18:25:734,-0.3745,0.7234,0.5182,1.013
17:18:25:736,-0.3743,0.7229,0.5185,1.012
17:18:25:738,-0.3745,0.7219,0.5192,1.012
17:18:25:740,-0.3748,0.7229,0.5204,1.014
17:18:25:742,-0.3745,0.7236,0.5209,1.014
17:18:25:744,-0.3743,0.7234,0.5224,1.015
17:18:25:746,-0.3743,0.7236,0.5241,1.016
17:18:25:748,-0.3745,0.7239,0.5248,1.017
17:18:25:750,-0.3753,0.7236,0.5246,1.017
17:18:25:752,-0.3762,0.7239,0.5248,1.017
17:18:25:755,-0.3767,0.7244,0.5256,1.018
17:18:25:756,-0.3775,0.7234,0.5263,1.018
17:18:25:758,-0.3777,0.7227,0.5270,1.018
17:18:25:761,-0.3775,0.7229,0.5275,1.018
17:18:25:762,-0.3765,0.7224,0.5268,1.017
17:18:25:765,-0.3760,0.7217,0.5260,1.016
17:18:25:766,-0.3753,0.7202,0.5251,1.014
17:18:25:771,-0.3738,0.7185,0.5236,1.012
17:18:25:773,-0.3723,0.7178,0.5226,1.010
