time,gFx,gFy,gFz,TgF
22:51:49:940,1.0183,0.2157,-0.1597,1.060
22:51:49:943,1.0168,0.2223,-0.1563,1.060
22:51:49:944,1.0185,0.2274,-0.1529,1.062
22:51:49:950,1.0188,0.2318,-0.1473,1.063
22:51:49:951,1.0131,0.2375,-0.1358,1.058
22:51:49:953,1.0036,0.2443,-0.1170,1.049
22:51:49:954,0.9946,0.2516,-0.0891,1.040
22:51:49:955,0.9909,0.2568,-0.0505,1.036
22:51:49:957,0.9933,0.2548,-0.0078,1.037
22:51:49:958,0.9931,0.2485,0.0196,1.036
22:51:49:960,0.9797,0.2411,0.0291,1.021
22:51:49:963,0.9064,0.2196,0.0795,0.949
22:51:49:965,0.8512,0.2047,0.1857,0.910
22:51:49:967,0.9237,0.1972,0.2089,0.981
22:51:49:969,0.9995,0.1730,0.1625,1.038
22:51:49:970,1.0210,0.1373,0.0951,1.042
22:51:49:972,1.0063,0.1048,0.0347,1.018
22:51:49:975,0.9909,0.0831,-0.0092,0.998
22:51:49:976,0.9809,0.0713,-0.0390,0.987
22:51:49:978,0.9806,0.0694,-0.0659,0.987
22:51:49:981,0.9819,0.0679,-0.1050,0.991
22:51:49:984,0.9604,0.0643,-0.1746,0.978
22:51:49:985,0.9171,0.0603,-0.2797,0.958
22:51:49:986,0.8895,0.0601,-0.3796,0.965
22:51:49:988,0.8949,0.0669,-0.4634,1.005
22:51:49:990,0.9225,0.0762,-0.5196,1.056
22:51:49:992,0.9667,0.0826,-0.5575,1.113
22:51:49:994,0.9894,0.0923,-0.5858,1.148
22:51:49:998,0.9880,0.0992,-0.6090,1.159
22:51:49:999,0.9574,0.1146,-0.6913,1.180
22:51:50:000,0.9183,0.1280,-0.7864,1.209
22:51:50:003,0.8990,0.1415,-0.9305,1.294
22:51:50:004,0.8954,0.1529,-1.0556,1.384
22:51:50:006,0.9208,0.1693,-1.0974,1.434
22:51:50:008,0.9628,0.1920,-1.0058,1.399
22:51:50:010,1.0051,0.2135,-0.8330,1.319
22:51:50:012,1.0420,0.2333,-0.7214,1.287
22:51:50:015,1.0596,0.2511,-0.6845,1.286
22:51:50:016,1.0527,0.2668,-0.6615,1.272
22:51:50:019,1.0434,0.2858,-0.6623,1.270
22:51:50:020,1.0278,0.2978,-0.6610,1.259
22:51:50:023,1.0029,0.3020,-0.6312,1.225
22:51:50:024,0.9765,0.3020,-0.5775,1.177
22:51:50:026,0.9494,0.2917,-0.4908,1.112
22:51:50:028,0.9262,0.2722,-0.3857,1.045
22:51:50:032,0.9113,0.2463,-0.2868,0.993
22:51:50:033,0.8966,0.2174,-0.2039,0.952
22:51:50:034,0.8710,0.1866,-0.1346,0.908
22:51:50:036,0.8470,0.1542,-0.0591,0.870
22:51:50:038,0.8365,0.1263,0.0340,0.855
